YEAR;MONTH;SEX;CARAPACE;AREA;SHELL
2016;8;M;42;3101;
2016;8;M;34;3101;
2016;8;F;53;3101;31
2016;8;M;29;3101;
2016;8;F;50;3101;31
2016;8;F;23;3101;
2016;8;F;43;3101;31
2016;8;M;26;3101;
2016;8;F;31;3101;
2016;8;M;43;3101;
2016;8;F;37;3101;
2016;8;F;50;3101;31
2016;8;F;31;3101;
2016;8;M;30;3101;
2016;8;M;41;3101;
2016;8;F;34;3101;
2016;8;F;29;3101;
2016;8;F;47;3101;30
2016;8;F;34;3101;
2016;8;M;32;3101;
2016;8;M;34;3101;
2016;8;F;41;3101;
2016;8;F;32;3101;
2016;8;M;47;3101;
2016;8;F;41;3101;31
2016;8;F;40;3101;
2016;8;M;31;3101;
2016;8;F;40;3101;31
2016;8;F;35;3101;
2016;8;F;38;3101;
2016;8;F;31;3101;
2016;8;M;33;3505;
2016;8;F;62;3703;
2016;8;M;101;3703;31
2016;8;F;57;3703;
2016;8;M;54;3703;
2016;9;M;108;3501;32
2016;9;F;81;3501;32
2016;9;M;86;3501;31
2016;9;M;79;3501;30
2016;9;M;69;3501;31
2016;9;F;63;3501;
2016;9;F;63;3501;
2016;9;M;44;3501;
2016;9;M;50;3501;
2016;9;M;64;3501;20
2016;9;M;47;3501;20
2016;9;M;48;3501;20
2016;9;M;64;3501;20
2016;9;M;64;3501;20
2016;9;F;45;3501;
2016;9;M;74;3503;30
2016;9;M;75;3503;30
2016;9;M;93;3503;31
2016;9;F;60;3503;32
2016;9;F;35;3503;
2016;9;F;26;3503;
2016;9;M;22;3503;
2016;9;M;22;3503;
2016;9;M;18;3503;
2016;9;M;27;3503;
2016;9;M;20;3503;
2016;9;M;23;3503;
2016;9;M;20;3503;
2016;9;M;22;3503;
2016;9;M;23;3503;
2016;9;M;18;3503;
2016;9;M;18;3503;
2016;9;F;20;3503;
2016;9;F;23;3503;
2016;9;F;18;3503;
2016;9;F;20;3503;
2016;9;F;20;3503;
2016;9;F;26;3503;
2016;9;F;21;3503;
2016;9;M;19;3503;
2016;9;M;19;3503;
2016;9;F;18;3503;
2016;9;F;20;3503;
2016;9;M;20;3503;
2016;9;M;29;3503;
2016;9;F;22;3503;
2016;9;F;31;3503;
2016;9;M;88;3503;31
2016;9;M;98;3503;31
2016;9;M;91;3503;31
2016;9;M;82;3503;31
2016;9;M;72;3503;31
2016;9;M;80;3503;31
2016;9;F;30;3503;
2016;9;M;22;3503;
2016;9;M;31;3503;
2016;9;M;29;3503;
2016;9;F;22;3503;
2016;9;F;21;3503;
2016;9;F;20;3503;
2016;9;M;24;3503;
2016;9;F;22;3503;
2016;9;M;22;3503;
2016;9;M;22;3503;
2016;9;M;21;3503;
2016;9;F;21;3503;
2016;9;F;22;3503;
2016;9;M;20;3503;
2016;9;M;20;3503;
2016;9;M;19;3503;
2016;9;F;19;3503;
2016;9;F;20;3503;
2016;9;M;20;3503;
2016;9;M;21;3503;
2016;9;F;21;3503;
2016;9;M;16;3503;
2016;9;F;67;3501;32
2016;9;M;105;3501;32
2016;9;M;83;3501;31
2016;9;F;22;3501;
2016;9;M;95;3501;30
2016;9;M;89;3501;30
2016;9;M;87;3501;30
2016;9;M;90;3501;30
2016;9;M;115;3501;30
2016;9;M;22;3501;
2016;9;M;128;3501;31
2016;9;M;62;3501;30
2016;9;F;80;3501;32
2016;9;M;117;3501;32
2016;9;F;83;3501;42
2016;9;M;97;3501;31
2016;9;F;87;3501;42
2016;9;F;55;3501;31
2016;9;F;77;3501;42
2016;9;F;63;3501;42
2016;9;F;74;3501;42
2016;9;M;28;3501;
2016;9;M;117;3703;32
2016;9;M;131;3703;31
2016;9;M;83;3501;31
2016;9;M;99;3501;31
2016;9;M;87;3501;31
2016;9;M;123;3501;31
2016;9;M;87;3501;30
2016;9;M;90;3501;30
2016;9;M;87;3501;30
2016;9;M;87;3501;30
2016;9;M;84;3501;31
2016;9;M;81;3501;30
2016;9;M;74;3501;31
2016;9;M;92;3501;30
2016;9;M;90;3501;30
2016;9;M;82;3501;30
2016;9;M;87;3501;30
